# FPDS Query — Federal Procurement Data System Query
# Data Export
# Prepared by: GETWAB INC
# Source: https://getwab.com
# Exported at: 06/19/2025 15:02:29 UTC

"№","agency_name","contract_type_code","contract_type_description","psc_code","psc_description","naics_code","naics_description","extent_code","extent_description","contract_count","total_obligated","avg_obligation"
"1","DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","C","DELIVERY ORDER","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","541512","COMPUTER SYSTEMS DESIGN SERVICES","C","NOT COMPETED","311","380567075.27","1223688.344919614"
"2","DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","C","DELIVERY ORDER","DB10","IT AND TELECOM - COMPUTE AS A SERVICE: MAINFRAME/SERVERS","518210","COMPUTING INFRASTRUCTURE PROVIDERS, DATA PROCESSING, WEB HOSTING, AND RELATED SERVICES","D","FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES","92","22108212.31","240306.65554347823"
"3","USDA, DEPARTMENTAL ADMINISTRATION","C","DELIVERY ORDER","DA10","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE","518210","COMPUTING INFRASTRUCTURE PROVIDERS, DATA PROCESSING, WEB HOSTING, AND RELATED SERVICES","C","NOT COMPETED","3","13335642.45","4445214.149999999"
"4","DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","C","DELIVERY ORDER","DB10","IT AND TELECOM - COMPUTE AS A SERVICE: MAINFRAME/SERVERS","518210","COMPUTING INFRASTRUCTURE PROVIDERS, DATA PROCESSING, WEB HOSTING, AND RELATED SERVICES","B","NOT AVAILABLE FOR COMPETITION","4","12826000","3206500"
"5","OFFICES, BOARDS AND DIVISIONS","C","DELIVERY ORDER","7A20","IT AND TELECOM - APPLICATION DEVELOPMENT SOFTWARE (PERPETUAL LICENSE SOFTWARE)","541512","COMPUTER SYSTEMS DESIGN SERVICES","A","FULL AND OPEN COMPETITION","13","11338248.92","872172.9938461538"
"6","SOCIAL SECURITY ADMINISTRATION","C","DELIVERY ORDER","DA01","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR)","541512","COMPUTER SYSTEMS DESIGN SERVICES","C","NOT COMPETED","13","11104783.44","854214.1107692308"
"7","STATE, DEPARTMENT OF","C","DELIVERY ORDER","DB01","IT AND TELECOM - HIGH PERFORMANCE COMPUTING (HPC) SUPPORT SERVICES (LABOR)","541519","OTHER COMPUTER RELATED SERVICES","C","NOT COMPETED","6","8776207","1462701.1666666667"
"8","OFFICES, BOARDS AND DIVISIONS","C","DELIVERY ORDER","7A21","IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE)","541512","COMPUTER SYSTEMS DESIGN SERVICES","A","FULL AND OPEN COMPETITION","2","8471014.74","4235507.37"
"9","TRANSPORTATION SECURITY ADMINISTRATION","D","DEFINITIVE CONTRACT","DF10","IT AND TELECOM - IT MANAGEMENT AS A SERVICE","541512","COMPUTER SYSTEMS DESIGN SERVICES","C","NOT COMPETED","2","6901582.08","3450791.04"
"10","DEPT OF THE AIR FORCE","C","DELIVERY ORDER","DA01","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR)","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","C","NOT COMPETED","5","5344196","1068839.2"
"11","DEFENSE HEALTH AGENCY (DHA)","D","DEFINITIVE CONTRACT","DA01","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR)","541519","OTHER COMPUTER RELATED SERVICES","C","NOT COMPETED","3","5168966.44","1722988.8133333335"
"12","DEPT OF THE ARMY","C","DELIVERY ORDER","D308","IT AND TELECOM- PROGRAMMING","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","C","NOT COMPETED","7","5000931.67","714418.8099999999"
"13","DEPT OF THE ARMY","C","DELIVERY ORDER","DB10","IT AND TELECOM - COMPUTE AS A SERVICE: MAINFRAME/SERVERS","518210","COMPUTING INFRASTRUCTURE PROVIDERS, DATA PROCESSING, WEB HOSTING, AND RELATED SERVICES","D","FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES","1","4535988.93","4535988.93"
"14","FEDERAL PRISON INDUSTRIES, INC.","C","DELIVERY ORDER","R499","SUPPORT- PROFESSIONAL: OTHER","541519","OTHER COMPUTER RELATED SERVICES","C","NOT COMPETED","4","3149501.65","787375.4125"
"15","DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA)","D","DEFINITIVE CONTRACT","DG10","IT AND TELECOM - NETWORK AS A SERVICE","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","C","NOT COMPETED","1","2951910","2951910"
"16","DEPT OF THE ARMY","C","DELIVERY ORDER","DD01","IT AND TELECOM - SERVICE DELIVERY SUPPORT SERVICES: ITSM, OPERATIONS CENTER, PROJECT/PM (LABOR)","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","C","NOT COMPETED","4","2594989.77","648747.4425"
"17","FEDERAL HIGHWAY ADMINISTRATION","A","BPA CALL","DG01","IT AND TELECOM - NETWORK SUPPORT SERVICES (LABOR)","541513","COMPUTER FACILITIES MANAGEMENT SERVICES","G","NOT COMPETED UNDER SAP","2","2274624","1137312"
"18","STATE, DEPARTMENT OF","C","DELIVERY ORDER","7A20","IT AND TELECOM - APPLICATION DEVELOPMENT SOFTWARE (PERPETUAL LICENSE SOFTWARE)","541519","OTHER COMPUTER RELATED SERVICES","C","NOT COMPETED","15","1989300","132620"
"19","STATE, DEPARTMENT OF","C","DELIVERY ORDER","R408","SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT","541519","OTHER COMPUTER RELATED SERVICES","C","NOT COMPETED","11","1823129","165739"
"20","DEPT OF THE NAVY","C","DELIVERY ORDER","DA10","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","C","NOT COMPETED","2","1754248.48","877124.24"
